owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
nfl,react-helmet,127,250,414,775,503,N/A,444,84,N/A,N/A,398,421,331,112,306,519,542,110,62,N/A,24,510,679,560,309,N/A,422,N/A,422,N/A,345,421
node-js-libs,cli,585,651,572,772,502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,949,497,530,916,3,962,492,N/A,488,832,79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,344,N/A
koajs,compose,543,517,505,774,453,N/A,N/A,N/A,N/A,N/A,N/A,501,25,512,715,376,184,253,340,399,142,767,398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,343,501
http-party,http-server,161,139,518,773,176,N/A,379,20,417,443,N/A,156,26,79,529,928,6,261,236,146,400,343,121,423,279,N/A,270,N/A,252,440,455,156
ethereumjs,ethereumjs-monorepo,401,259,874,690,69,141,89,257,28,212,293,33,794,511,528,583,617,230,502,8,415,62,692,27,147,66,28,39,185,77,384,33
dcodeIO,bcrypt.js,352,405,766,691,433,N/A,443,78,N/A,N/A,N/A,649,728,510,403,497,574,961,501,N/A,817,761,350,531,357,N/A,421,N/A,391,N/A,383,649
goto100,xpath,787,671,645,692,N/A,127,34,96,219,32,20,859,N/A,509,381,525,649,983,377,N/A,153,806,263,N/A,259,183,195,193,234,358,382,859
hapijs,boom,376,459,315,695,N/A,N/A,377,389,416,300,294,277,177,508,860,470,363,801,499,370,13,634,310,519,351,N/A,420,N/A,272,392,381,277
request,request-promise,313,378,514,693,187,N/A,N/A,N/A,415,448,N/A,423,793,507,73,722,241,688,498,N/A,243,581,419,N/A,416,N/A,489,N/A,500,76,380,423
expressjs,errorhandler,700,701,317,694,431,N/A,N/A,N/A,N/A,N/A,N/A,255,439,506,531,641,193,629,497,N/A,643,758,493,329,N/A,N/A,N/A,N/A,N/A,N/A,379,255
react-icons,react-icons,192,248,299,699,79,N/A,96,124,121,87,59,358,792,505,167,988,344,590,262,152,699,109,732,221,74,111,115,149,186,343,378,358
apostrophecms,sanitize-html,342,326,543,696,430,N/A,224,331,337,369,N/A,422,30,520,93,239,881,587,507,N/A,1,709,414,N/A,260,327,419,373,127,75,445,422
react-dnd,react-dnd,102,105,557,697,445,N/A,249,162,413,42,N/A,173,176,90,913,898,656,84,143,421,888,220,595,90,118,N/A,321,N/A,406,429,398,173
mishoo,UglifyJS2,N/A,N/A,805,N/A,444,N/A,331,187,N/A,110,96,658,250,219,59,628,122,879,506,12,943,921,N/A,36,N/A,N/A,N/A,N/A,352,N/A,397,658
zenorocha,clipboard.js,39,50,955,698,185,N/A,282,70,N/A,N/A,14,294,259,181,275,272,545,141,247,423,181,454,722,243,242,N/A,365,N/A,416,N/A,396,294
reactjs,react-modal,252,220,494,704,442,N/A,33,387,298,6,6,110,342,207,720,490,828,56,131,345,113,326,573,570,262,253,353,338,279,68,395,110
medialize,URI.js,267,285,760,700,441,N/A,N/A,N/A,N/A,N/A,N/A,526,341,268,238,850,40,982,505,N/A,275,482,179,230,N/A,N/A,140,N/A,N/A,N/A,449,526
sindresorhus,tildify,853,885,411,703,440,N/A,N/A,N/A,N/A,N/A,N/A,915,149,518,839,5,461,763,504,N/A,510,704,459,569,N/A,N/A,N/A,N/A,N/A,N/A,457,915
apollographql,apollo-link,473,342,509,702,439,N/A,N/A,N/A,N/A,N/A,N/A,175,66,122,719,241,966,22,6,N/A,108,255,879,N/A,N/A,N/A,N/A,N/A,N/A,N/A,456,175
winstonjs,winston-daily-rotate-file,567,506,671,701,N/A,N/A,442,41,339,14,1,473,791,517,536,805,222,551,397,391,93,633,721,469,229,388,418,403,449,80,447,473
facebook,react-native,5,11,329,779,7,N/A,165,342,7,200,397,4,28,143,351,292,751,277,296,2,798,137,617,30,3,31,7,94,187,258,486,4
75lb,command-line-args,619,583,506,778,438,N/A,N/A,N/A,N/A,N/A,N/A,662,249,516,718,367,302,529,326,493,887,733,531,477,N/A,N/A,481,N/A,N/A,N/A,485,662
naugtur,xhr,579,584,418,777,389,N/A,N/A,N/A,N/A,N/A,N/A,477,369,182,118,238,776,610,187,N/A,36,779,215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,484,477
sidorares,node-mysql2,330,277,435,800,8,10,243,316,37,254,208,107,150,74,717,245,209,385,508,40,867,372,347,256,65,56,38,57,261,79,483,107
vuejs,vue-hot-reload-api,676,731,301,798,467,N/A,N/A,N/A,N/A,N/A,N/A,665,790,515,866,313,714,244,167,N/A,268,841,729,568,N/A,N/A,N/A,N/A,N/A,N/A,482,665
vuejs,vuex,49,26,363,799,181,N/A,390,95,297,407,396,220,433,514,489,314,715,201,251,427,417,126,697,208,311,387,271,404,432,398,481,220
prettymuchbryce,http-status-codes,548,588,623,801,112,N/A,101,193,N/A,N/A,292,464,733,513,585,397,527,414,226,409,566,676,354,456,385,326,352,356,353,N/A,480,464
kelektiv,node-cron,234,273,611,811,85,90,259,278,62,274,214,120,64,3,142,956,17,700,450,52,173,435,43,321,154,187,61,72,159,257,499,120
jasmine,jasmine-npm,714,523,759,812,465,N/A,N/A,36,N/A,N/A,N/A,414,328,148,541,858,63,829,452,N/A,735,496,490,204,477,386,N/A,281,497,N/A,498,414
parshap,node-sanitize-filename,735,723,911,810,182,N/A,N/A,N/A,N/A,N/A,N/A,463,742,464,509,297,204,360,123,N/A,599,882,411,N/A,564,N/A,480,N/A,469,N/A,497,463
mui-org,material-ui,11,6,376,851,1,N/A,146,237,4,172,330,6,5,34,195,N/A,N/A,137,349,4,837,73,563,20,4,22,3,46,224,78,718,6
knex,knex,114,98,510,852,920,155,40,94,97,80,118,93,434,69,842,880,672,410,453,58,348,180,308,189,50,34,81,127,437,342,717,93
sequelize,sequelize,46,45,403,857,23,48,66,107,15,281,114,32,16,46,608,756,487,225,375,23,691,171,48,17,37,51,16,12,265,71,732,32
react-component,slider,371,243,910,855,932,N/A,225,52,162,86,329,408,789,483,219,351,637,561,458,155,49,294,653,258,230,159,168,189,346,259,731,408
trentm,node-bunyan,256,291,497,856,477,N/A,N/A,459,N/A,N/A,31,177,370,95,40,246,712,370,144,450,567,552,188,N/A,350,N/A,351,N/A,455,N/A,730,177
nashwaan,xml-js,503,468,500,854,476,N/A,N/A,485,N/A,N/A,N/A,664,730,482,124,841,530,90,24,N/A,907,558,800,472,335,N/A,N/A,N/A,456,N/A,729,664
websockets,bufferutil,833,750,457,853,475,N/A,241,273,N/A,N/A,N/A,663,806,481,713,923,346,893,457,372,416,727,627,379,439,385,N/A,258,56,N/A,728,663
firebase,firebase-js-sdk,315,210,347,705,81,89,151,272,36,213,328,43,38,63,168,394,767,69,78,9,321,40,866,415,30,36,33,58,221,290,727,43
hudochenkov,stylelint-order,557,686,573,706,N/A,N/A,281,417,274,36,23,430,729,432,607,428,780,302,456,316,777,491,836,282,278,384,304,294,318,328,726,430
googleapis,google-api-nodejs-client,190,111,944,712,474,88,264,179,80,178,136,2,80,78,85,72,944,560,455,50,836,132,331,1,75,109,84,24,335,70,503,2
FortAwesome,Font-Awesome,14,19,421,714,180,N/A,263,254,193,344,183,9,162,106,496,669,922,919,454,N/A,746,152,196,202,26,215,197,313,305,296,502,9
webpack-contrib,eslint-loader,533,537,260,715,366,N/A,N/A,N/A,N/A,N/A,N/A,696,346,431,258,412,321,57,127,N/A,293,367,605,213,N/A,N/A,N/A,N/A,N/A,N/A,501,696
ciaranj,node-oauth,402,260,945,713,381,N/A,N/A,N/A,374,11,N/A,958,N/A,430,910,356,28,898,461,N/A,427,568,21,N/A,563,N/A,331,N/A,459,430,500,958
webpack-contrib,html-loader,511,446,371,711,95,N/A,43,42,208,191,327,64,355,192,201,411,320,204,460,244,302,316,467,296,438,207,234,255,57,69,511,64
npm,security-holder,820,734,885,709,390,N/A,N/A,N/A,N/A,N/A,N/A,741,805,429,956,147,607,965,459,N/A,266,920,792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,510,741
pugjs,pug,92,107,443,710,405,N/A,424,73,N/A,N/A,N/A,219,804,428,147,656,264,214,199,457,776,193,41,336,246,N/A,N/A,N/A,328,N/A,509,219
typeorm,typeorm,41,35,517,743,28,3,57,79,53,30,45,20,161,21,55,806,687,325,381,N/A,598,116,784,279,15,5,51,87,405,243,508,20
yiminghe,async-validator,223,237,422,744,122,N/A,N/A,160,373,400,N/A,720,738,427,303,438,653,152,208,N/A,676,395,637,N/A,352,N/A,427,N/A,460,382,507,720
formatjs,formatjs,150,149,594,745,15,23,99,148,67,108,39,172,234,28,841,794,355,8,97,126,738,72,521,2,66,60,68,70,86,242,506,172
flitbit,diff,375,410,524,747,425,N/A,N/A,N/A,N/A,N/A,N/A,844,803,426,350,454,266,429,163,N/A,319,808,300,N/A,N/A,N/A,N/A,N/A,N/A,N/A,505,844
driverdan,node-XMLHttpRequest,703,371,946,746,424,N/A,N/A,N/A,N/A,N/A,N/A,940,737,425,716,558,115,964,491,N/A,342,637,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,504,940
gulpjs,gulp,42,44,314,749,402,N/A,368,239,312,399,326,168,163,117,349,478,370,566,490,N/A,56,288,375,338,214,N/A,358,N/A,143,74,479,168
roryrjb,md5-file,790,850,380,750,370,N/A,N/A,N/A,N/A,N/A,N/A,388,736,440,492,752,979,821,489,N/A,340,807,522,567,N/A,N/A,N/A,N/A,N/A,N/A,518,388
mathiasbynens,utf8.js,651,545,466,748,369,N/A,N/A,N/A,N/A,N/A,N/A,895,735,439,348,78,589,748,488,N/A,846,927,369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,517,895
firebase,firebase-admin-node,463,350,947,755,875,87,75,413,64,192,83,66,54,65,497,395,768,404,331,51,512,249,860,126,62,108,64,114,310,73,516,66
59naga,babel-plugin-add-module-exports,606,727,513,754,368,N/A,N/A,N/A,N/A,N/A,N/A,266,916,438,840,237,500,29,117,N/A,613,757,739,444,N/A,N/A,N/A,N/A,N/A,N/A,515,266
75lb,command-line-usage,796,782,535,756,367,N/A,N/A,N/A,N/A,N/A,N/A,697,244,437,361,369,301,745,446,396,950,890,685,492,N/A,N/A,N/A,N/A,N/A,N/A,514,697
jimp-dev,jimp,159,240,470,757,429,N/A,318,484,245,49,17,130,170,55,515,918,787,145,447,202,728,200,570,115,183,144,249,259,394,295,513,130
mapbox,node-pre-gyp,520,370,274,758,896,N/A,95,102,260,223,191,15,169,229,112,67,482,363,429,278,193,362,436,N/A,264,333,238,381,442,383,512,15
kelektiv,node.bcrypt.js,255,296,948,759,428,N/A,171,224,311,297,155,548,428,436,126,951,18,355,407,363,86,462,32,344,121,206,357,225,222,72,536,548
enzymejs,enzyme,105,100,461,760,427,N/A,271,471,372,5,325,101,235,4,514,936,734,487,521,238,534,243,741,N/A,433,N/A,426,N/A,58,380,535,101
ant-design,ant-design,12,3,455,840,3,2,269,372,2,312,324,40,14,147,564,301,917,509,522,5,339,53,655,12,1,11,2,28,133,50,719,40
lit,lit,126,209,637,286,32,163,188,206,30,250,323,547,47,14,609,856,971,97,529,33,533,50,880,15,41,30,30,35,248,264,534,547
Automattic,node-canvas,208,176,950,290,897,154,120,126,224,362,265,244,802,435,42,55,810,666,535,220,131,270,63,424,69,160,228,273,264,285,533,244
mattyork,fuzzy,575,618,561,288,426,N/A,N/A,N/A,N/A,N/A,N/A,730,743,434,469,787,152,580,540,N/A,949,741,245,525,N/A,N/A,N/A,N/A,N/A,N/A,532,730
casesandberg,react-color,183,200,608,287,109,N/A,432,238,N/A,N/A,36,323,245,150,808,487,601,309,543,N/A,519,206,705,420,302,N/A,330,N/A,356,N/A,531,323
cryptocoinjs,bs58,798,757,462,289,423,N/A,N/A,N/A,N/A,N/A,N/A,894,801,433,920,670,162,900,510,N/A,518,670,427,N/A,N/A,N/A,N/A,N/A,N/A,N/A,530,894
shouldjs,should.js,432,540,554,292,422,N/A,N/A,N/A,N/A,N/A,N/A,336,429,448,183,810,325,512,511,N/A,457,494,532,482,N/A,N/A,N/A,N/A,N/A,N/A,544,336
anseki,readline-sync,586,704,633,291,437,N/A,N/A,N/A,N/A,N/A,N/A,893,741,447,22,541,380,935,513,N/A,880,922,409,N/A,N/A,N/A,N/A,N/A,N/A,N/A,543,893
quilljs,quill,36,62,587,293,30,149,22,43,102,256,24,136,364,149,795,905,495,217,350,115,875,236,250,134,48,107,103,52,269,263,542,136
substack,brfs,647,675,516,295,436,N/A,N/A,33,N/A,N/A,N/A,892,430,446,294,962,985,810,518,N/A,800,765,327,483,486,N/A,N/A,N/A,458,N/A,541,892
domenic,chai-as-promised,478,574,534,294,186,N/A,N/A,292,371,440,N/A,901,584,445,223,206,521,444,165,N/A,517,582,209,394,432,N/A,476,N/A,457,61,540,901
oclif,command,824,755,754,302,434,N/A,N/A,N/A,172,304,340,182,885,444,978,464,898,282,322,95,364,585,915,65,N/A,260,175,186,N/A,262,539,182
dylang,shortid,282,388,538,300,327,N/A,375,382,N/A,N/A,N/A,974,750,443,470,323,248,332,72,N/A,690,561,176,N/A,478,N/A,N/A,N/A,49,N/A,538,974
jonschlinkert,gray-matter,337,543,439,296,326,N/A,402,214,N/A,N/A,N/A,900,749,442,65,710,358,897,476,N/A,811,600,470,N/A,254,424,N/A,429,443,N/A,537,900
timoxley,keycode,682,700,520,299,341,N/A,N/A,N/A,N/A,N/A,N/A,851,748,441,353,83,86,758,483,N/A,235,836,291,N/A,N/A,N/A,N/A,N/A,N/A,N/A,488,851
node-config,node-config,271,298,792,304,194,N/A,322,388,300,53,97,424,425,456,975,979,2,653,493,N/A,349,102,74,495,226,259,320,317,349,284,487,424
cujojs,when,348,321,349,303,321,N/A,N/A,N/A,N/A,N/A,N/A,437,426,269,979,735,16,896,500,N/A,838,514,100,228,N/A,N/A,N/A,N/A,N/A,N/A,550,437
hammerjs,hammer.js,75,74,975,308,320,N/A,N/A,71,N/A,N/A,N/A,126,427,224,448,903,102,477,503,N/A,737,366,201,N/A,268,N/A,N/A,N/A,475,N/A,549,126
oclif,cli-ux,650,747,653,305,319,N/A,N/A,N/A,N/A,N/A,N/A,324,800,454,404,463,900,321,271,N/A,565,406,916,121,N/A,N/A,N/A,N/A,N/A,N/A,548,324
webpack,json-loader,689,634,308,306,318,N/A,N/A,N/A,N/A,N/A,N/A,92,828,453,919,588,213,435,195,N/A,136,896,210,572,N/A,N/A,N/A,N/A,N/A,N/A,547,92
necolas,normalize.css,25,22,450,307,384,N/A,100,82,349,7,125,897,403,107,784,450,261,975,509,N/A,79,673,113,N/A,361,N/A,433,N/A,175,54,546,897
mrdoob,three.js,9,4,528,402,929,16,274,364,9,303,233,151,15,452,814,649,415,466,462,29,778,173,30,76,22,12,9,27,132,53,545,151
standard,eslint-plugin-standard,834,844,412,401,383,N/A,N/A,N/A,369,439,339,657,172,451,783,741,562,674,463,502,252,674,699,N/A,N/A,310,471,395,N/A,52,496,657
mobxjs,mobx,59,119,602,419,49,N/A,112,321,137,241,305,129,41,172,387,687,685,38,65,138,459,112,640,127,112,67,135,135,311,283,495,129
amqp-node,amqplib,340,299,568,428,N/A,N/A,216,402,350,438,102,656,418,450,775,977,38,401,383,349,149,346,366,530,204,309,288,340,68,408,494,656
imagemin,imagemin,289,389,384,429,330,N/A,N/A,N/A,N/A,N/A,N/A,726,827,449,N/A,678,161,719,464,N/A,363,656,425,494,N/A,N/A,N/A,N/A,N/A,N/A,493,726
redux-saga,redux-saga,82,103,511,431,196,95,130,281,217,46,219,309,164,153,123,926,694,6,468,198,507,114,747,158,233,258,215,346,229,346,492,309
adamwdraper,Numeral-js,210,196,977,430,328,N/A,N/A,1,N/A,N/A,N/A,523,754,400,21,689,205,625,473,N/A,736,261,283,437,379,N/A,432,N/A,495,N/A,491,523
intlify,vue-i18n-next,444,390,709,441,29,21,219,169,49,204,169,87,350,151,423,703,958,285,177,93,820,273,989,77,57,58,49,47,243,51,490,87
node-schedule,node-schedule,217,293,598,442,393,N/A,441,30,N/A,N/A,N/A,262,419,183,337,942,186,673,592,400,42,524,114,356,297,N/A,N/A,N/A,433,N/A,489,262
mysqljs,mysql,117,79,410,446,N/A,N/A,N/A,473,378,10,300,285,826,399,14,945,31,733,599,397,761,381,52,N/A,449,N/A,374,N/A,493,422,569,285
babel,babel-preset-env,345,461,310,445,392,N/A,N/A,N/A,N/A,N/A,N/A,143,349,128,68,532,582,60,83,N/A,570,380,820,277,N/A,N/A,N/A,N/A,N/A,N/A,568,143
rollup,rollup-plugin-babel,613,620,343,444,391,N/A,N/A,N/A,N/A,N/A,N/A,379,825,398,285,614,628,148,230,N/A,378,389,728,N/A,N/A,N/A,N/A,N/A,N/A,N/A,567,379
babel,babelify,456,549,526,443,388,N/A,N/A,N/A,N/A,N/A,N/A,661,421,397,405,533,583,138,150,N/A,201,531,585,513,562,N/A,N/A,N/A,492,N/A,566,661
lodash,babel-plugin-lodash,425,578,581,447,387,N/A,N/A,N/A,N/A,N/A,N/A,378,423,368,714,919,256,124,157,N/A,790,352,702,N/A,N/A,N/A,N/A,N/A,N/A,N/A,565,378
akiran,react-slick,185,96,496,452,83,44,12,50,179,27,25,211,414,91,439,718,688,395,605,N/A,377,267,601,231,83,262,176,211,168,337,564,211
FortAwesome,react-fontawesome,338,400,998,454,386,N/A,180,431,N/A,N/A,N/A,468,165,54,707,717,904,73,244,460,461,356,897,345,326,N/A,N/A,N/A,334,N/A,563,468
gulpjs,gulp-util,574,589,389,453,385,N/A,N/A,N/A,N/A,N/A,N/A,808,358,367,272,716,294,644,569,N/A,202,495,379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,562,808
chancejs,chancejs,266,308,990,455,191,N/A,N/A,15,314,95,91,467,475,366,622,920,337,170,95,208,460,388,370,N/A,399,261,223,376,491,435,577,467
ardatan,graphql-tools,294,230,501,440,119,150,133,231,20,327,375,39,133,129,706,276,955,167,571,35,656,92,791,5,107,48,21,17,378,56,576,39
rstacruz,nprogress,66,112,495,437,403,N/A,N/A,159,N/A,N/A,N/A,807,653,365,886,85,405,659,576,N/A,426,740,405,487,448,N/A,N/A,N/A,490,N/A,575,807
theturtle32,WebSocket-Node,336,271,989,432,382,N/A,37,166,N/A,N/A,N/A,660,656,364,974,795,252,685,584,505,500,396,106,N/A,398,N/A,N/A,N/A,207,N/A,574,660
acdlite,recompose,141,161,537,433,397,N/A,N/A,N/A,N/A,N/A,N/A,442,552,363,98,477,347,14,23,N/A,499,230,725,235,N/A,N/A,N/A,N/A,N/A,N/A,573,442
cryptocoinjs,secp256k1-node,736,530,739,438,192,N/A,356,430,N/A,N/A,267,659,870,362,845,667,163,778,586,503,576,284,583,325,354,N/A,470,N/A,395,N/A,572,659
facebook,draft-js,81,73,605,439,395,N/A,N/A,N/A,N/A,N/A,N/A,41,224,40,389,289,756,27,42,487,211,147,780,312,N/A,N/A,N/A,N/A,N/A,N/A,571,41
jrburke,r.js,392,253,988,436,394,N/A,N/A,N/A,N/A,N/A,N/A,929,288,361,56,363,84,945,557,N/A,864,345,115,N/A,N/A,N/A,N/A,N/A,N/A,N/A,570,929
broofa,node-uuid,763,786,987,434,287,N/A,N/A,N/A,N/A,N/A,N/A,806,N/A,376,934,523,796,944,564,N/A,458,557,839,N/A,N/A,N/A,N/A,N/A,N/A,N/A,521,806
rafeca,prettyjson,672,712,632,435,286,N/A,N/A,N/A,N/A,N/A,N/A,960,384,375,388,449,306,550,242,N/A,655,768,155,288,N/A,N/A,N/A,N/A,N/A,N/A,520,960
Leaflet,Leaflet,35,36,550,497,55,31,277,276,66,170,94,106,223,11,960,822,169,443,412,92,553,162,59,289,70,55,63,100,227,265,519,106
webpack-contrib,uglifyjs-webpack-plugin,481,454,297,495,301,N/A,N/A,N/A,N/A,N/A,N/A,75,302,374,96,417,316,55,103,N/A,603,360,852,284,N/A,N/A,N/A,N/A,N/A,N/A,582,75
abbr,deasync,550,660,522,494,300,N/A,355,93,377,441,N/A,852,N/A,373,710,743,350,943,566,433,462,719,508,275,332,416,415,375,423,385,581,852
dreamerslab,node.extend,829,848,601,493,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,523,372,709,706,13,785,567,430,760,726,182,N/A,N/A,415,N/A,347,N/A,N/A,580,N/A
theaqua,redux-logger,281,349,481,492,298,N/A,N/A,N/A,N/A,N/A,N/A,484,869,371,215,N/A,N/A,169,105,N/A,273,575,707,238,N/A,N/A,N/A,N/A,N/A,N/A,579,484
expressjs,method-override,631,717,409,500,343,N/A,N/A,N/A,N/A,N/A,11,237,524,370,438,638,196,593,546,N/A,657,825,494,331,N/A,N/A,510,N/A,N/A,N/A,578,237
mokkabonna,inquirer-autocomplete-prompt,728,635,613,499,876,N/A,324,26,353,353,236,492,909,369,475,311,398,198,361,309,532,530,711,540,403,308,348,145,218,336,529,492
browserify,watchify,446,451,614,498,378,N/A,N/A,N/A,N/A,N/A,N/A,493,526,384,181,462,227,611,552,N/A,178,590,363,621,N/A,N/A,N/A,N/A,N/A,N/A,528,493
Reactive-Extensions,RxJS,108,93,731,496,377,N/A,N/A,N/A,N/A,N/A,N/A,961,294,110,81,674,70,942,554,N/A,801,131,181,274,N/A,N/A,N/A,N/A,N/A,N/A,527,961
TryGhost,node-sqlite3,275,231,477,502,918,N/A,28,51,187,60,206,181,190,383,152,298,892,860,555,212,177,359,89,301,124,307,192,165,358,307,526,181
jashkenas,coffeescript,134,97,606,501,376,N/A,349,69,293,286,207,454,134,141,844,773,61,208,325,351,604,214,14,N/A,267,306,359,374,256,55,525,454
jaredhanson,passport-local,388,294,438,505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,418,265,240,792,123,176,698,556,N/A,729,439,157,N/A,N/A,N/A,509,N/A,N/A,N/A,524,418
domenic,sinon-chai,525,571,585,506,128,N/A,N/A,77,N/A,N/A,N/A,N/A,614,382,554,207,523,381,233,N/A,290,544,195,349,558,N/A,409,N/A,489,N/A,523,N/A
gotwarlost,istanbul,222,214,453,504,375,N/A,440,N/A,N/A,N/A,N/A,365,615,381,239,606,647,800,689,N/A,787,332,275,N/A,460,N/A,N/A,N/A,274,N/A,522,365
gruntjs,grunt-cli,612,412,529,503,288,N/A,258,N/A,N/A,N/A,347,645,864,380,791,512,49,891,691,489,127,629,293,536,459,N/A,508,N/A,271,N/A,590,645
gruntjs,grunt,176,129,385,507,N/A,N/A,340,356,354,101,346,152,192,71,790,513,42,840,710,352,515,327,147,421,343,305,354,348,393,335,589,152
yeoman,generator,510,367,986,513,126,98,106,175,141,98,65,176,863,379,712,603,72,275,387,105,561,417,247,100,253,196,155,159,163,49,588,176
BrowserSync,browser-sync,177,242,355,515,874,N/A,55,375,267,45,71,258,493,130,623,821,515,142,132,227,898,323,421,252,316,263,286,235,320,306,587,258
facebook,flux,122,56,612,514,323,N/A,N/A,N/A,N/A,N/A,N/A,416,295,81,553,291,758,95,238,387,206,172,552,527,N/A,N/A,N/A,N/A,N/A,N/A,586,416
inversify,InversifyJS,195,251,985,516,127,N/A,79,117,198,196,296,165,203,114,216,844,489,422,357,281,102,225,651,154,206,85,201,199,392,211,585,165
mqttjs,MQTT.js,233,145,924,509,322,N/A,190,355,82,276,247,276,300,184,19,839,480,157,345,57,328,340,102,69,67,42,88,90,144,48,584,276
babel,eslint-plugin-babel,709,648,603,508,380,N/A,N/A,N/A,N/A,N/A,N/A,451,492,378,818,536,585,365,289,N/A,229,419,680,432,N/A,N/A,N/A,N/A,N/A,N/A,583,451
electron,electron,6,16,512,552,5,45,177,244,3,287,198,3,42,39,440,379,792,241,425,14,668,89,344,4,5,8,5,11,164,47,724,3
mikeal,watch,495,521,350,551,379,N/A,N/A,N/A,N/A,N/A,N/A,941,622,377,477,90,499,908,676,N/A,34,781,69,N/A,512,N/A,N/A,N/A,488,N/A,723,941
TooTallNate,keypress,720,694,621,554,333,N/A,N/A,N/A,N/A,N/A,N/A,872,910,392,938,132,281,954,678,N/A,477,915,243,N/A,N/A,N/A,N/A,N/A,N/A,N/A,722,872
hparra,gulp-rename,617,649,379,550,332,N/A,N/A,N/A,N/A,N/A,N/A,780,602,391,817,515,254,703,679,N/A,45,646,438,606,511,N/A,N/A,N/A,487,N/A,721,780
gulp-sourcemaps,gulp-sourcemaps,521,559,420,553,331,N/A,N/A,N/A,N/A,N/A,N/A,337,888,390,705,882,547,578,681,N/A,476,533,492,497,N/A,N/A,N/A,N/A,N/A,N/A,720,337
apollographql,apollo-client,111,75,582,518,25,9,141,232,27,161,307,27,44,22,816,243,963,104,197,27,269,69,783,129,35,20,26,26,195,46,593,27
broccolijs,broccoli-funnel,865,779,687,517,374,N/A,N/A,N/A,N/A,N/A,N/A,366,948,389,704,709,357,373,190,N/A,233,520,589,496,N/A,N/A,507,N/A,N/A,N/A,592,366
patorjk,figlet.js,399,496,544,519,325,N/A,N/A,N/A,173,384,281,498,572,388,230,704,851,338,366,N/A,897,532,231,544,510,269,177,106,547,210,591,498
andyearnshaw,Intl.js,455,429,928,520,324,N/A,N/A,N/A,N/A,N/A,N/A,912,382,387,250,748,708,374,666,N/A,327,54,353,392,N/A,N/A,N/A,N/A,N/A,N/A,553,912
koajs,static,517,568,893,521,N/A,N/A,N/A,N/A,N/A,N/A,345,499,71,386,615,366,179,713,669,N/A,137,745,403,N/A,N/A,N/A,350,N/A,N/A,N/A,552,499
apache,echarts,22,14,539,556,37,N/A,246,338,81,153,344,11,70,166,178,42,675,200,278,68,150,100,342,112,8,32,78,76,340,333,551,11
pksunkara,inflect,779,669,542,557,335,N/A,N/A,N/A,N/A,N/A,N/A,970,571,385,86,799,633,953,670,N/A,849,747,192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,598,970
ericelliott,cuid,356,539,576,555,201,N/A,N/A,N/A,N/A,N/A,18,420,516,241,99,281,288,83,258,N/A,232,433,269,582,509,N/A,408,N/A,540,N/A,597,420
yeoman,environment,832,655,926,560,50,32,63,119,147,113,41,194,862,336,811,597,71,284,218,101,909,647,579,117,340,200,154,116,45,260,596,194
flatiron,nconf,329,406,616,558,N/A,N/A,411,470,355,72,N/A,338,569,335,N/A,750,12,657,671,369,216,392,101,467,508,410,305,386,44,407,595,338
kolodny,immutability-helper,298,456,644,559,257,N/A,N/A,N/A,N/A,N/A,N/A,586,568,334,255,194,508,237,193,N/A,73,641,782,294,507,N/A,N/A,N/A,539,N/A,594,586
josdejong,mathjs,151,168,647,572,878,151,222,295,118,104,130,160,7,47,319,486,784,272,338,91,516,122,322,N/A,98,88,126,83,126,280,561,160
broccolijs,broccoli-merge-trees,889,788,683,571,256,N/A,N/A,N/A,N/A,N/A,N/A,620,861,333,703,708,356,431,170,N/A,198,587,512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,560,620
flatiron,prompt,438,474,578,570,255,N/A,N/A,N/A,N/A,N/A,N/A,460,860,332,235,746,11,740,606,N/A,33,565,118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,559,460
jaredhanson,passport-oauth2,638,353,566,566,135,N/A,N/A,215,361,193,N/A,409,578,331,708,119,174,602,303,N/A,703,543,399,N/A,277,N/A,361,N/A,538,419,558,409
ForbesLindesay,sync-request,737,742,583,569,339,N/A,114,165,N/A,N/A,N/A,478,577,330,562,171,505,604,663,N/A,791,799,569,N/A,388,N/A,N/A,N/A,362,N/A,557,478
